loss,accuracy,val_loss,val_accuracy
0.46507328748703003,0.8308125138282776,0.36266520619392395,0.8668333292007446
0.3040604591369629,0.8890625238418579,0.283814400434494,0.8955833315849304
0.2586204707622528,0.9047499895095825,0.2616428732872009,0.9045833349227905
0.22913305461406708,0.9156458377838135,0.24549776315689087,0.9100000262260437
0.20377010107040405,0.9242500066757202,0.25557634234428406,0.9057499766349792
0.18195436894893646,0.9323124885559082,0.23523198068141937,0.9150000214576721
0.1623408943414688,0.9390416741371155,0.23422229290008545,0.9144999980926514
0.14388245344161987,0.9463333487510681,0.23868393898010254,0.9157500267028809
0.12764233350753784,0.9523958563804626,0.23678800463676453,0.9225000143051147
0.11084248125553131,0.9568750262260437,0.25128528475761414,0.9214166402816772
0.09688824415206909,0.9642500281333923,0.26257434487342834,0.9201666712760925
0.08624829351902008,0.9681249856948853,0.28974005579948425,0.9167500138282776
0.07451386749744415,0.9723958373069763,0.29407739639282227,0.9183333516120911
0.06498157978057861,0.9756041765213013,0.34074878692626953,0.9190000295639038
0.0614125020802021,0.9772083163261414,0.31256523728370667,0.9203333258628845
0.05277976393699646,0.9801874756813049,0.3524722754955292,0.9164999723434448
0.046502191573381424,0.9825416803359985,0.364286333322525,0.918916642665863
